

** [alpha] Launch Training on 20230725_2110
{
  "HOST": "alpha",
  "SAVE": true,
  "github_log": true,
  "architecture": "SEGFORMER",
  "baseModel": "MITB2",
  "numGPUs": 4,
  "modelSize": [
    512,
    512
  ],
  "initialWeight": [
    null,
    null
  ],
  "num_epochs": 500,
  "resume": false,
  "prevEPOCH": 172,
  "resumeWeight": "./model_weights/ResNet50/20230605_1912_DLV3PP_ResNet50_BEST_AUG/variables/variables",
  "augmentation": true,
  "temperature_shift": 15,
  "Flag": true,
  "p": 0.2,
  "acc_thresh": 0.5,
  "batch_size": 10,
  "lr_scheduling": "const",
  "lr": 6e-05,
  "decay_steps": 1.0,
  "train_annotation": "./Annotations/consolidate_train_db_20230711_1637.txt",
  "eval_annotation": "./Annotations/consolidate_eval_db_20230711_1637.txt",
  "exp_comment": "* Updated Annotations are used\n* Updated consolidate DB used (0711_1637 version) - Updated DB \n* This consolidate DB is updated from 0703_2119 version \n* 4 GPUs are used to train models\n* SEGFORMER Model W/ MIT B0 Pretrained Wegiths\n",
  "isCompleted": false,
  "config": "Config/TRAIN_SEGFORMER_NEWDB_20230711.yaml",
  "numTrainDB": 11530,
  "numEvalDB": 3524
}
@20230725_2115 @20230725_2115 [EP 1/500] lr: 6e-05, took: 262.72s (avg: 262.72s), ETA: 1d:12h:18m:58s [TRAIN] loss: 0.8826, iou: 0.0654, f1: 0.1174 [EVAL] loss: 0.7375, iou: 0.1525, f1: 0.2625
@20230726_0344 @20230726_0344 [EP 196/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:9h:57m:52s [TRAIN] loss: 0.1830, iou: 0.7025, f1: 0.8170 [EVAL] loss: 0.2419, iou: 0.6211, f1: 0.7581
@20230726_0346 @20230726_0346 [EP 197/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:9h:55m:54s [TRAIN] loss: 0.1825, iou: 0.7032, f1: 0.8175 [EVAL] loss: 0.2409, iou: 0.6224, f1: 0.7591
@20230726_0347 @20230726_0347 [EP 198/500] lr: 6e-05, took: 117.82s (avg: 117.82s), ETA: 0d:9h:48m:54s [TRAIN] loss: 0.1828, iou: 0.7027, f1: 0.8172 [EVAL] loss: 0.2426, iou: 0.6203, f1: 0.7574
@20230726_0349 @20230726_0349 [EP 199/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:9h:46m:57s [TRAIN] loss: 0.1830, iou: 0.7024, f1: 0.8170 [EVAL] loss: 0.2409, iou: 0.6225, f1: 0.7591
@20230726_0351 @20230726_0351 [EP 200/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:9h:50m:0s [TRAIN] loss: 0.1823, iou: 0.7035, f1: 0.8177 [EVAL] loss: 0.2410, iou: 0.6224, f1: 0.7590
@20230726_0353 @20230726_0353 [EP 201/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:9h:48m:2s [TRAIN] loss: 0.1828, iou: 0.7028, f1: 0.8172 [EVAL] loss: 0.2409, iou: 0.6223, f1: 0.7591
@20230726_0355 @20230726_0355 [EP 202/500] lr: 6e-05, took: 118.05s (avg: 118.05s), ETA: 0d:9h:46m:4s [TRAIN] loss: 0.1830, iou: 0.7026, f1: 0.8170 [EVAL] loss: 0.2397, iou: 0.6240, f1: 0.7603
@20230726_0357 @20230726_0357 [EP 203/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:9h:44m:6s [TRAIN] loss: 0.1834, iou: 0.7020, f1: 0.8166 [EVAL] loss: 0.2399, iou: 0.6235, f1: 0.7601
@20230726_0359 @20230726_0359 [EP 204/500] lr: 6e-05, took: 117.95s (avg: 117.95s), ETA: 0d:9h:37m:12s [TRAIN] loss: 0.1842, iou: 0.7008, f1: 0.8158 [EVAL] loss: 0.2396, iou: 0.6239, f1: 0.7604
@20230726_0401 @20230726_0401 [EP 205/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:9h:35m:15s [TRAIN] loss: 0.1838, iou: 0.7014, f1: 0.8162 [EVAL] loss: 0.2400, iou: 0.6235, f1: 0.7600
@20230726_0403 @20230726_0403 [EP 206/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:9h:33m:18s [TRAIN] loss: 0.1836, iou: 0.7017, f1: 0.8164 [EVAL] loss: 0.2407, iou: 0.6226, f1: 0.7593
@20230726_0405 @20230726_0405 [EP 207/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:9h:36m:14s [TRAIN] loss: 0.1830, iou: 0.7026, f1: 0.8170 [EVAL] loss: 0.2416, iou: 0.6213, f1: 0.7584
@20230726_0407 @20230726_0407 [EP 208/500] lr: 6e-05, took: 118.15s (avg: 118.15s), ETA: 0d:9h:34m:16s [TRAIN] loss: 0.1831, iou: 0.7024, f1: 0.8169 [EVAL] loss: 0.2403, iou: 0.6231, f1: 0.7597
@20230726_0409 @20230726_0409 [EP 209/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:9h:27m:27s [TRAIN] loss: 0.1829, iou: 0.7026, f1: 0.8171 [EVAL] loss: 0.2396, iou: 0.6241, f1: 0.7604
@20230726_0411 @20230726_0411 [EP 210/500] lr: 6e-05, took: 117.83s (avg: 117.83s), ETA: 0d:9h:25m:30s [TRAIN] loss: 0.1824, iou: 0.7035, f1: 0.8176 [EVAL] loss: 0.2387, iou: 0.6253, f1: 0.7613
@20230726_0413 @20230726_0413 [EP 211/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:9h:23m:33s [TRAIN] loss: 0.1818, iou: 0.7043, f1: 0.8182 [EVAL] loss: 0.2382, iou: 0.6261, f1: 0.7618
@20230726_0415 @20230726_0415 [EP 212/500] lr: 6e-05, took: 117.98s (avg: 117.98s), ETA: 0d:9h:21m:36s [TRAIN] loss: 0.1816, iou: 0.7047, f1: 0.8184 [EVAL] loss: 0.2398, iou: 0.6241, f1: 0.7602
@20230726_0417 @20230726_0417 [EP 213/500] lr: 6e-05, took: 118.29s (avg: 118.29s), ETA: 0d:9h:24m:26s [TRAIN] loss: 0.1810, iou: 0.7055, f1: 0.8190 [EVAL] loss: 0.2389, iou: 0.6251, f1: 0.7611
@20230726_0419 @20230726_0419 [EP 214/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:9h:17m:42s [TRAIN] loss: 0.1807, iou: 0.7059, f1: 0.8193 [EVAL] loss: 0.2385, iou: 0.6256, f1: 0.7615
@20230726_0421 @20230726_0421 [EP 215/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:9h:15m:45s [TRAIN] loss: 0.1808, iou: 0.7057, f1: 0.8192 [EVAL] loss: 0.2388, iou: 0.6252, f1: 0.7612
@20230726_0423 @20230726_0423 [EP 216/500] lr: 6e-05, took: 118.04s (avg: 118.04s), ETA: 0d:9h:18m:32s [TRAIN] loss: 0.1803, iou: 0.7065, f1: 0.8197 [EVAL] loss: 0.2390, iou: 0.6248, f1: 0.7610
@20230726_0425 @20230726_0425 [EP 217/500] lr: 6e-05, took: 118.07s (avg: 118.07s), ETA: 0d:9h:16m:34s [TRAIN] loss: 0.1803, iou: 0.7065, f1: 0.8197 [EVAL] loss: 0.2381, iou: 0.6261, f1: 0.7619
@20230726_0427 @20230726_0427 [EP 218/500] lr: 6e-05, took: 118.24s (avg: 118.24s), ETA: 0d:9h:14m:36s [TRAIN] loss: 0.1808, iou: 0.7058, f1: 0.8192 [EVAL] loss: 0.2383, iou: 0.6257, f1: 0.7617
@20230726_0429 @20230726_0429 [EP 219/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:9h:12m:38s [TRAIN] loss: 0.1805, iou: 0.7062, f1: 0.8195 [EVAL] loss: 0.2392, iou: 0.6246, f1: 0.7608
@20230726_0431 @20230726_0431 [EP 220/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:9h:6m:0s [TRAIN] loss: 0.1810, iou: 0.7055, f1: 0.8190 [EVAL] loss: 0.2395, iou: 0.6240, f1: 0.7605
@20230726_0433 @20230726_0433 [EP 221/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:9h:8m:42s [TRAIN] loss: 0.1806, iou: 0.7062, f1: 0.8194 [EVAL] loss: 0.2389, iou: 0.6248, f1: 0.7611
@20230726_0435 @20230726_0435 [EP 222/500] lr: 6e-05, took: 117.73s (avg: 117.73s), ETA: 0d:9h:2m:6s [TRAIN] loss: 0.1810, iou: 0.7056, f1: 0.8190 [EVAL] loss: 0.2414, iou: 0.6214, f1: 0.7586
@20230726_0437 @20230726_0437 [EP 223/500] lr: 6e-05, took: 119.55s (avg: 119.55s), ETA: 0d:9h:9m:23s [TRAIN] loss: 0.1814, iou: 0.7050, f1: 0.8186 [EVAL] loss: 0.2411, iou: 0.6219, f1: 0.7589
@20230726_0439 @20230726_0439 [EP 224/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:9h:2m:48s [TRAIN] loss: 0.1819, iou: 0.7042, f1: 0.8181 [EVAL] loss: 0.2400, iou: 0.6231, f1: 0.7600
@20230726_0441 @20230726_0441 [EP 225/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:9h:0m:50s [TRAIN] loss: 0.1747, iou: 0.7130, f1: 0.8253 [EVAL] loss: 0.2267, iou: 0.6399, f1: 0.7733
@20230726_0443 @20230726_0443 [EP 226/500] lr: 6e-05, took: 118.44s (avg: 118.44s), ETA: 0d:8h:58m:52s [TRAIN] loss: 0.1701, iou: 0.7192, f1: 0.8299 [EVAL] loss: 0.2226, iou: 0.6453, f1: 0.7774
@20230726_0445 @20230726_0445 [EP 227/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:8h:56m:54s [TRAIN] loss: 0.1685, iou: 0.7214, f1: 0.8315 [EVAL] loss: 0.2202, iou: 0.6487, f1: 0.7798
@20230726_0447 @20230726_0447 [EP 228/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:8h:54m:56s [TRAIN] loss: 0.1664, iou: 0.7247, f1: 0.8336 [EVAL] loss: 0.2191, iou: 0.6499, f1: 0.7809
@20230726_0449 @20230726_0449 [EP 229/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:8h:52m:58s [TRAIN] loss: 0.1655, iou: 0.7259, f1: 0.8345 [EVAL] loss: 0.2179, iou: 0.6517, f1: 0.7821
@20230726_0451 @20230726_0451 [EP 230/500] lr: 6e-05, took: 118.07s (avg: 118.07s), ETA: 0d:8h:51m:0s [TRAIN] loss: 0.1638, iou: 0.7284, f1: 0.8362 [EVAL] loss: 0.2182, iou: 0.6512, f1: 0.7818
@20230726_0453 @20230726_0453 [EP 231/500] lr: 6e-05, took: 118.11s (avg: 118.11s), ETA: 0d:8h:49m:2s [TRAIN] loss: 0.1626, iou: 0.7302, f1: 0.8374 [EVAL] loss: 0.2181, iou: 0.6513, f1: 0.7819
@20230726_0455 @20230726_0455 [EP 232/500] lr: 6e-05, took: 118.36s (avg: 118.36s), ETA: 0d:8h:47m:4s [TRAIN] loss: 0.1618, iou: 0.7314, f1: 0.8382 [EVAL] loss: 0.2187, iou: 0.6505, f1: 0.7813
@20230726_0457 @20230726_0457 [EP 233/500] lr: 6e-05, took: 118.16s (avg: 118.16s), ETA: 0d:8h:45m:6s [TRAIN] loss: 0.1611, iou: 0.7325, f1: 0.8389 [EVAL] loss: 0.2184, iou: 0.6511, f1: 0.7816
@20230726_0459 @20230726_0459 [EP 234/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:8h:43m:8s [TRAIN] loss: 0.1603, iou: 0.7338, f1: 0.8397 [EVAL] loss: 0.2188, iou: 0.6505, f1: 0.7812
@20230726_0501 @20230726_0501 [EP 235/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:8h:41m:10s [TRAIN] loss: 0.1603, iou: 0.7337, f1: 0.8397 [EVAL] loss: 0.2197, iou: 0.6494, f1: 0.7803
@20230726_0503 @20230726_0503 [EP 236/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:8h:39m:12s [TRAIN] loss: 0.1602, iou: 0.7338, f1: 0.8398 [EVAL] loss: 0.2210, iou: 0.6476, f1: 0.7790
@20230726_0505 @20230726_0505 [EP 237/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:8h:37m:14s [TRAIN] loss: 0.1599, iou: 0.7344, f1: 0.8401 [EVAL] loss: 0.2193, iou: 0.6498, f1: 0.7807
@20230726_0507 @20230726_0507 [EP 238/500] lr: 6e-05, took: 118.36s (avg: 118.36s), ETA: 0d:8h:35m:16s [TRAIN] loss: 0.1594, iou: 0.7350, f1: 0.8406 [EVAL] loss: 0.2206, iou: 0.6481, f1: 0.7794
@20230726_0509 @20230726_0509 [EP 239/500] lr: 6e-05, took: 118.16s (avg: 118.16s), ETA: 0d:8h:33m:18s [TRAIN] loss: 0.1594, iou: 0.7350, f1: 0.8406 [EVAL] loss: 0.2186, iou: 0.6508, f1: 0.7814
@20230726_0511 @20230726_0511 [EP 240/500] lr: 6e-05, took: 117.98s (avg: 117.98s), ETA: 0d:8h:27m:0s [TRAIN] loss: 0.1592, iou: 0.7354, f1: 0.8408 [EVAL] loss: 0.2186, iou: 0.6509, f1: 0.7814
@20230726_0513 @20230726_0513 [EP 241/500] lr: 6e-05, took: 118.02s (avg: 118.02s), ETA: 0d:8h:29m:22s [TRAIN] loss: 0.1591, iou: 0.7356, f1: 0.8409 [EVAL] loss: 0.2195, iou: 0.6497, f1: 0.7805
@20230726_0515 @20230726_0515 [EP 242/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:8h:23m:6s [TRAIN] loss: 0.1592, iou: 0.7354, f1: 0.8408 [EVAL] loss: 0.2204, iou: 0.6483, f1: 0.7796
@20230726_0517 @20230726_0517 [EP 243/500] lr: 6e-05, took: 118.22s (avg: 118.22s), ETA: 0d:8h:25m:26s [TRAIN] loss: 0.1594, iou: 0.7350, f1: 0.8406 [EVAL] loss: 0.2213, iou: 0.6471, f1: 0.7787
@20230726_0519 @20230726_0519 [EP 244/500] lr: 6e-05, took: 118.06s (avg: 118.06s), ETA: 0d:8h:23m:28s [TRAIN] loss: 0.1593, iou: 0.7353, f1: 0.8407 [EVAL] loss: 0.2193, iou: 0.6497, f1: 0.7807
@20230726_0521 @20230726_0521 [EP 245/500] lr: 6e-05, took: 118.17s (avg: 118.17s), ETA: 0d:8h:21m:30s [TRAIN] loss: 0.1594, iou: 0.7350, f1: 0.8406 [EVAL] loss: 0.2192, iou: 0.6501, f1: 0.7808
@20230726_0523 @20230726_0523 [EP 246/500] lr: 6e-05, took: 118.19s (avg: 118.19s), ETA: 0d:8h:19m:32s [TRAIN] loss: 0.1592, iou: 0.7354, f1: 0.8408 [EVAL] loss: 0.2197, iou: 0.6496, f1: 0.7803
@20230726_0525 @20230726_0525 [EP 247/500] lr: 6e-05, took: 118.42s (avg: 118.42s), ETA: 0d:8h:17m:34s [TRAIN] loss: 0.1595, iou: 0.7349, f1: 0.8405 [EVAL] loss: 0.2202, iou: 0.6488, f1: 0.7798
@20230726_0527 @20230726_0527 [EP 248/500] lr: 6e-05, took: 118.10s (avg: 118.10s), ETA: 0d:8h:15m:36s [TRAIN] loss: 0.1601, iou: 0.7341, f1: 0.8399 [EVAL] loss: 0.2213, iou: 0.6474, f1: 0.7787
@20230726_0529 @20230726_0529 [EP 249/500] lr: 6e-05, took: 118.31s (avg: 118.31s), ETA: 0d:8h:13m:38s [TRAIN] loss: 0.1602, iou: 0.7339, f1: 0.8398 [EVAL] loss: 0.2213, iou: 0.6475, f1: 0.7787
@20230726_0531 @20230726_0531 [EP 250/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:8h:7m:30s [TRAIN] loss: 0.1606, iou: 0.7332, f1: 0.8394 [EVAL] loss: 0.2229, iou: 0.6455, f1: 0.7771
@20230726_0533 @20230726_0533 [EP 251/500] lr: 6e-05, took: 118.00s (avg: 118.00s), ETA: 0d:8h:5m:33s [TRAIN] loss: 0.1619, iou: 0.7314, f1: 0.8381 [EVAL] loss: 0.2239, iou: 0.6441, f1: 0.7761
@20230726_0535 @20230726_0535 [EP 252/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:8h:3m:36s [TRAIN] loss: 0.1623, iou: 0.7306, f1: 0.8377 [EVAL] loss: 0.2254, iou: 0.6422, f1: 0.7746
@20230726_0537 @20230726_0537 [EP 253/500] lr: 6e-05, took: 117.71s (avg: 117.71s), ETA: 0d:8h:1m:39s [TRAIN] loss: 0.1632, iou: 0.7294, f1: 0.8368 [EVAL] loss: 0.2232, iou: 0.6448, f1: 0.7768
@20230726_0539 @20230726_0539 [EP 254/500] lr: 6e-05, took: 117.94s (avg: 117.94s), ETA: 0d:7h:59m:42s [TRAIN] loss: 0.1632, iou: 0.7294, f1: 0.8368 [EVAL] loss: 0.2224, iou: 0.6456, f1: 0.7776
@20230726_0541 @20230726_0541 [EP 255/500] lr: 6e-05, took: 117.91s (avg: 117.91s), ETA: 0d:7h:57m:45s [TRAIN] loss: 0.1624, iou: 0.7306, f1: 0.8376 [EVAL] loss: 0.2238, iou: 0.6435, f1: 0.7762
@20230726_0543 @20230726_0543 [EP 256/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:7h:55m:48s [TRAIN] loss: 0.1629, iou: 0.7300, f1: 0.8371 [EVAL] loss: 0.2268, iou: 0.6395, f1: 0.7732
@20230726_0545 @20230726_0545 [EP 257/500] lr: 6e-05, took: 117.93s (avg: 117.93s), ETA: 0d:7h:53m:51s [TRAIN] loss: 0.1631, iou: 0.7296, f1: 0.8369 [EVAL] loss: 0.2245, iou: 0.6425, f1: 0.7755
@20230726_0547 @20230726_0547 [EP 258/500] lr: 6e-05, took: 117.82s (avg: 117.82s), ETA: 0d:7h:51m:54s [TRAIN] loss: 0.1617, iou: 0.7317, f1: 0.8383 [EVAL] loss: 0.2256, iou: 0.6409, f1: 0.7744
@20230726_0549 @20230726_0549 [EP 259/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:7h:53m:58s [TRAIN] loss: 0.1614, iou: 0.7322, f1: 0.8386 [EVAL] loss: 0.2227, iou: 0.6451, f1: 0.7773
@20230726_0551 @20230726_0551 [EP 260/500] lr: 6e-05, took: 118.08s (avg: 118.08s), ETA: 0d:7h:52m:0s [TRAIN] loss: 0.1606, iou: 0.7333, f1: 0.8394 [EVAL] loss: 0.2220, iou: 0.6460, f1: 0.7780
@20230726_0553 @20230726_0553 [EP 261/500] lr: 6e-05, took: 117.87s (avg: 117.87s), ETA: 0d:7h:46m:3s [TRAIN] loss: 0.1606, iou: 0.7332, f1: 0.8394 [EVAL] loss: 0.2234, iou: 0.6441, f1: 0.7766
@20230726_0555 @20230726_0555 [EP 262/500] lr: 6e-05, took: 117.80s (avg: 117.80s), ETA: 0d:7h:44m:6s [TRAIN] loss: 0.1609, iou: 0.7328, f1: 0.8391 [EVAL] loss: 0.2203, iou: 0.6483, f1: 0.7797
@20230726_0557 @20230726_0557 [EP 263/500] lr: 6e-05, took: 117.89s (avg: 117.89s), ETA: 0d:7h:42m:9s [TRAIN] loss: 0.1606, iou: 0.7332, f1: 0.8394 [EVAL] loss: 0.2187, iou: 0.6506, f1: 0.7813
@20230726_0559 @20230726_0559 [EP 264/500] lr: 6e-05, took: 118.37s (avg: 118.37s), ETA: 0d:7h:44m:8s [TRAIN] loss: 0.1601, iou: 0.7341, f1: 0.8399 [EVAL] loss: 0.2163, iou: 0.6540, f1: 0.7837
@20230726_0601 @20230726_0601 [EP 265/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:7h:42m:10s [TRAIN] loss: 0.1603, iou: 0.7337, f1: 0.8397 [EVAL] loss: 0.2156, iou: 0.6550, f1: 0.7844
@20230726_0603 @20230726_0603 [EP 266/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:7h:40m:12s [TRAIN] loss: 0.1594, iou: 0.7351, f1: 0.8406 [EVAL] loss: 0.2158, iou: 0.6547, f1: 0.7842
@20230726_0605 @20230726_0605 [EP 267/500] lr: 6e-05, took: 118.21s (avg: 118.21s), ETA: 0d:7h:38m:14s [TRAIN] loss: 0.1596, iou: 0.7349, f1: 0.8404 [EVAL] loss: 0.2158, iou: 0.6546, f1: 0.7842
@20230726_0607 @20230726_0607 [EP 268/500] lr: 6e-05, took: 117.81s (avg: 117.81s), ETA: 0d:7h:32m:24s [TRAIN] loss: 0.1592, iou: 0.7354, f1: 0.8408 [EVAL] loss: 0.2174, iou: 0.6524, f1: 0.7826
@20230726_0609 @20230726_0609 [EP 269/500] lr: 6e-05, took: 118.28s (avg: 118.28s), ETA: 0d:7h:34m:18s [TRAIN] loss: 0.1586, iou: 0.7363, f1: 0.8414 [EVAL] loss: 0.2166, iou: 0.6535, f1: 0.7834
@20230726_0611 @20230726_0611 [EP 270/500] lr: 6e-05, took: 118.20s (avg: 118.20s), ETA: 0d:7h:32m:20s [TRAIN] loss: 0.1588, iou: 0.7361, f1: 0.8412 [EVAL] loss: 0.2174, iou: 0.6523, f1: 0.7826
@20230726_0613 @20230726_0613 [EP 271/500] lr: 6e-05, took: 118.25s (avg: 118.25s), ETA: 0d:7h:30m:22s [TRAIN] loss: 0.1588, iou: 0.7359, f1: 0.8412 [EVAL] loss: 0.2174, iou: 0.6523, f1: 0.7826
@20230726_0615 @20230726_0615 [EP 272/500] lr: 6e-05, took: 117.90s (avg: 117.90s), ETA: 0d:7h:24m:36s [TRAIN] loss: 0.1595, iou: 0.7350, f1: 0.8405 [EVAL] loss: 0.2175, iou: 0.6522, f1: 0.7825
@20230726_0617 @20230726_0617 [EP 273/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:7h:26m:26s [TRAIN] loss: 0.1591, iou: 0.7356, f1: 0.8409 [EVAL] loss: 0.2169, iou: 0.6532, f1: 0.7831
@20230726_0619 @20230726_0619 [EP 274/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:7h:24m:28s [TRAIN] loss: 0.1591, iou: 0.7355, f1: 0.8409 [EVAL] loss: 0.2156, iou: 0.6550, f1: 0.7844
@20230726_0621 @20230726_0621 [EP 275/500] lr: 6e-05, took: 117.77s (avg: 117.77s), ETA: 0d:7h:18m:45s [TRAIN] loss: 0.1589, iou: 0.7358, f1: 0.8411 [EVAL] loss: 0.2161, iou: 0.6545, f1: 0.7839
@20230726_0623 @20230726_0623 [EP 276/500] lr: 6e-05, took: 117.76s (avg: 117.76s), ETA: 0d:7h:16m:48s [TRAIN] loss: 0.1588, iou: 0.7359, f1: 0.8412 [EVAL] loss: 0.2156, iou: 0.6550, f1: 0.7844
@20230726_0625 @20230726_0625 [EP 277/500] lr: 6e-05, took: 118.13s (avg: 118.13s), ETA: 0d:7h:18m:34s [TRAIN] loss: 0.1582, iou: 0.7369, f1: 0.8418 [EVAL] loss: 0.2178, iou: 0.6523, f1: 0.7822
@20230726_0627 @20230726_0626 [EP 278/500] lr: 6e-05, took: 118.14s (avg: 118.14s), ETA: 0d:7h:16m:36s [TRAIN] loss: 0.1584, iou: 0.7367, f1: 0.8416 [EVAL] loss: 0.2172, iou: 0.6531, f1: 0.7828
@20230726_0628 @20230726_0628 [EP 279/500] lr: 6e-05, took: 117.75s (avg: 117.75s), ETA: 0d:7h:10m:57s [TRAIN] loss: 0.1578, iou: 0.7375, f1: 0.8422 [EVAL] loss: 0.2159, iou: 0.6547, f1: 0.7841
@20230726_0630 @20230726_0630 [EP 280/500] lr: 6e-05, took: 118.17s (avg: 118.17s), ETA: 0d:7h:12m:40s [TRAIN] loss: 0.1573, iou: 0.7382, f1: 0.8427 [EVAL] loss: 0.2178, iou: 0.6522, f1: 0.7822
@20230726_0632 @20230726_0632 [EP 281/500] lr: 6e-05, took: 118.31s (avg: 118.31s), ETA: 0d:7h:10m:42s [TRAIN] loss: 0.1574, iou: 0.7380, f1: 0.8426 [EVAL] loss: 0.2176, iou: 0.6526, f1: 0.7824
@20230726_0634 @20230726_0634 [EP 282/500] lr: 6e-05, took: 118.16s (avg: 118.16s), ETA: 0d:7h:8m:44s [TRAIN] loss: 0.1572, iou: 0.7385, f1: 0.8428 [EVAL] loss: 0.2175, iou: 0.6524, f1: 0.7825
@20230726_0636 @20230726_0636 [EP 283/500] lr: 6e-05, took: 119.37s (avg: 119.37s), ETA: 0d:7h:10m:23s [TRAIN] loss: 0.1572, iou: 0.7385, f1: 0.8428 [EVAL] loss: 0.2160, iou: 0.6545, f1: 0.7840
@20230726_0638 @20230726_0638 [EP 284/500] lr: 6e-05, took: 118.29s (avg: 118.29s), ETA: 0d:7h:4m:48s [TRAIN] loss: 0.1571, iou: 0.7386, f1: 0.8429 [EVAL] loss: 0.2157, iou: 0.6548, f1: 0.7843
@20230726_0640 @20230726_0640 [EP 285/500] lr: 6e-05, took: 118.47s (avg: 118.47s), ETA: 0d:7h:2m:50s [TRAIN] loss: 0.1569, iou: 0.7389, f1: 0.8431 [EVAL] loss: 0.2166, iou: 0.6536, f1: 0.7834
@20230726_0642 @20230726_0642 [EP 286/500] lr: 6e-05, took: 118.09s (avg: 118.09s), ETA: 0d:7h:0m:52s [TRAIN] loss: 0.1569, iou: 0.7389, f1: 0.8431 [EVAL] loss: 0.2162, iou: 0.6541, f1: 0.7838
@20230726_0644 @20230726_0644 [EP 287/500] lr: 6e-05, took: 118.38s (avg: 118.38s), ETA: 0d:6h:58m:54s [TRAIN] loss: 0.1568, iou: 0.7390, f1: 0.8432 [EVAL] loss: 0.2161, iou: 0.6543, f1: 0.7839
@20230726_0646 @20230726_0646 [EP 288/500] lr: 6e-05, took: 118.03s (avg: 118.03s), ETA: 0d:6h:56m:56s [TRAIN] loss: 0.1563, iou: 0.7398, f1: 0.8437 [EVAL] loss: 0.2155, iou: 0.6552, f1: 0.7845
@20230726_0648 @20230726_0648 [EP 289/500] lr: 6e-05, took: 118.18s (avg: 118.18s), ETA: 0d:6h:54m:58s [TRAIN] loss: 0.1564, iou: 0.7396, f1: 0.8436 [EVAL] loss: 0.2176, iou: 0.6524, f1: 0.7824
@20230726_0650 @20230726_0650 [EP 290/500] lr: 6e-05, took: 118.16s (avg: 118.16s), ETA: 0d:6h:53m:0s [TRAIN] loss: 0.1571, iou: 0.7386, f1: 0.8429 [EVAL] loss: 0.2154, iou: 0.6553, f1: 0.7846
@20230726_0652 @20230726_0652 [EP 291/500] lr: 6e-05, took: 118.12s (avg: 118.12s), ETA: 0d:6h:51m:2s [TRAIN] loss: 0.1557, iou: 0.7408, f1: 0.8443 [EVAL] loss: 0.2147, iou: 0.6563, f1: 0.7853
@20230726_0654 @20230726_0654 [EP 292/500] lr: 6e-05, took: 117.98s (avg: 117.98s), ETA: 0d:6h:45m:36s [TRAIN] loss: 0.1553, iou: 0.7413, f1: 0.8447 [EVAL] loss: 0.2147, iou: 0.6562, f1: 0.7853
@20230726_0656 @20230726_0656 [EP 293/500] lr: 6e-05, took: 118.23s (avg: 118.23s), ETA: 0d:6h:47m:6s [TRAIN] loss: 0.1559, iou: 0.7404, f1: 0.8441 [EVAL] loss: 0.2154, iou: 0.6554, f1: 0.7846
@20230726_0658 @20230726_0658 [EP 294/500] lr: 6e-05, took: 118.38s (avg: 118.38s), ETA: 0d:6h:45m:8s [TRAIN] loss: 0.1557, iou: 0.7408, f1: 0.8443 [EVAL] loss: 0.2154, iou: 0.6553, f1: 0.7846
